FISCAL YEAR,GL_Organization_Scrunched,GL_Level_1,FUND DESCRIPTION,GL_Level_2,DEPARTMENT DESCRIPTION,GL_Level_3,ACTIVITY DESCRIPTION,GL_Base_and_Detail_Scrunched,ACCOUNT DESCRIPTION,GL_Account_ID,GL_Account_Delimited,Budget,Amendments,TOTAL BUDGET,Prior_Year_Budget,Prior_year_Ammendments,PRIOR YEAR TOTAL BUDGET,Budget_Type,Budget_Level,GL_Account_Status,Paying_Fund,Receipting_Fund,CurrentFiscalYear,Fund_Category,Fund_Category_Sequence,Fund_Type,Fund_Type_Sequence,Organization_Function,Organization_Function_Sequence,ACCOUNT TYPE,ACCOUNT CATEGORY
2019,10110110100,101,General Fund,101,City Council,10100,City Council,703000,Salaries - Elected.Salaries - Elected,1039,101-101-10100-703.000,67625,0,67625,67625,0,67625,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,Legislative,10,Expense,Personal Services
2019,10113613600,101,General Fund,136,District Court,13600,District Court,703000,Salaries - Elected.Salaries - Elected,1058,101-136-13600-703.000,91448,0,91448,91448,0,91448,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,Judicial,20,Expense,Personal Services
2019,10130530500,101,General Fund,305,Police,30500,Administration Services,705000,Salaries - Uniform.Salaries - Uniform,1556,101-305-30500-705.000,841770,0,841770,829822,0,829822,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,Public Safety,40,Expense,Personal Services
2019,10130531000,101,General Fund,305,Police,31000,Detective Bureau,705000,Salaries - Uniform.Salaries - Uniform,1662,101-305-31000-705.000,1348519,0,1348519,1307380.04,0,1307380.04,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,Public Safety,40,Expense,Personal Services
2019,10130531500,101,General Fund,305,Police,31500,Patrol,705000,Salaries - Uniform.Salaries - Uniform,1751,101-305-31500-705.000,4500746,0,4500746,4405103.96,0,4405103.96,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,Public Safety,40,Expense,Personal Services
2019,10133733700,101,General Fund,337,Fire,33700,Administration Services,705000,Salaries - Uniform.Salaries - Uniform,1900,101-337-33700-705.000,184182,0,184182,180133,0,180133,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,Public Safety,40,Expense,Personal Services
2019,10133733900,101,General Fund,337,Fire,33900,Fighting,705000,Salaries - Uniform.Salaries - Uniform,1954,101-337-33900-705.000,1783635,0,1783635,1747772,0,1747772,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,Public Safety,40,Expense,Personal Services
2019,10133734100,101,General Fund,337,Fire,34100,Prevention,705000,Salaries - Uniform.Salaries - Uniform,2005,101-337-34100-705.000,67026,0,67026,66796,0,66796,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,Public Safety,40,Expense,Personal Services
2019,10140040000,101,General Fund,400,Planning,40000,Planning,706000,Salaries.Salaries,2076,101-400-40000-706.000,235594,-20000,215594,169684.24,-2500,167184.24,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,Community and Economic Development,70,Expense,Personal Services
2019,10144144612,101,General Fund,441,Public Works,44612,Kentwood Hwys/Street(Non Act 51),706000,Salaries.Salaries,2219,101-441-44612-706.000,1000,0,1000,1000,0,1000,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,Public Works,50,Expense,Personal Services
2019,10144144613,101,General Fund,441,Public Works,44613,Other Govt/Agencies(Non Act 51),706000,Salaries.Salaries,2235,101-441-44613-706.000,2000,0,2000,1000,0,1000,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,Public Works,50,Expense,Personal Services
2019,10133733700,101,General Fund,337,Fire,33700,Administration Services,706000,Salaries.Salaries,1902,101-337-33700-706.000,35588,0,35588,0,0,0,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,Public Safety,40,Expense,Personal Services
2019,10130531200,101,General Fund,305,Police,31200,Forensic Science Unit,706000,Salaries.Salaries,1710,101-305-31200-706.000,374074,0,374074,362068.81,0,362068.81,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,Public Safety,40,Expense,Personal Services
2019,10120125300,101,General Fund,201,Finance,25300,Treasurer,706000,Salaries.Salaries,1431,101-201-25300-706.000,195457,0,195457,211695,0,211695,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,General Government,30,Expense,Personal Services
2019,10130531000,101,General Fund,305,Police,31000,Detective Bureau,706000,Salaries.Salaries,1663,101-305-31000-706.000,49737,0,49737,50115,0,50115,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,Public Safety,40,Expense,Personal Services
2019,10130530700,101,General Fund,305,Police,30700,Records Management,706000,Salaries.Salaries,1631,101-305-30700-706.000,215828,0,215828,220657.56,0,220657.56,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,Public Safety,40,Expense,Personal Services
2019,10130530500,101,General Fund,305,Police,30500,Administration Services,706000,Salaries.Salaries,1557,101-305-30500-706.000,99970,0,99970,95652,0,95652,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,Public Safety,40,Expense,Personal Services
2019,10130530610,101,General Fund,305,Police,30610,Building ,706000,Salaries.Salaries,1601,101-305-30610-706.000,45118,0,45118,45921,0,45921,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,Public Safety,40,Expense,Personal Services
