budget_year,department,fund_code,account_type,account_category,amount
FY19,Water Utility,591,Expense,Debt Service,-207479
FY19,,101,Revenue,Taxes,-100400
FY19,,400,Revenue,Taxes,-32100
FY19,,208,Revenue,Taxes,-30700
FY19,,101,Revenue,Taxes,-27000
FY19,,205,Revenue,Taxes,-25600
FY19,,207,Revenue,Taxes,-25600
FY19,,206,Revenue,Taxes,-15400
FY19,Water Utility,591,Expense,Debt Service,-11355
FY19,,230,Revenue,Taxes,-8200
FY19,,401,Revenue,Taxes,-7600
FY19,,400,Revenue,Taxes,-7200
FY19,,208,Revenue,Taxes,-6900
FY19,,205,Revenue,Taxes,-5800
FY19,,207,Revenue,Taxes,-5800
FY19,,206,Revenue,Taxes,-3500
FY19,,211,Revenue,Taxes,-3100
FY19,,230,Revenue,Taxes,-1700
FY19,,401,Revenue,Taxes,-1700
FY19,,211,Revenue,Taxes,-950
FY19,Public Works,202,Expense,Personal Services,1
FY19,Public Works,202,Expense,Personal Services,1
FY19,Public Works,203,Expense,Personal Services,1
FY19,Public Works,203,Expense,Personal Services,1
FY19,Public Works,203,Expense,Personal Services,1
FY19,Public Works,230,Expense,Personal Services,1
FY19,Public Works,590,Expense,Personal Services,1
FY19,Wastewater Utility,590,Expense,Supplies,1
FY19,Public Works,591,Expense,Personal Services,1
FY19,Public Works,101,Expense,Personal Services,2
FY19,Public Works,202,Expense,Personal Services,2
FY19,Public Works,591,Expense,Personal Services,2
FY19,Public Works,101,Expense,Personal Services,3
FY19,Public Works,202,Expense,Personal Services,7
FY19,Public Works,203,Expense,Personal Services,7
FY19,Water Utility,591,Expense,Personal Services,8
FY19,Water Utility,591,Expense,Personal Services,8
FY19,Permits,249,Expense,Other Services and Charges,10
FY19,Permits,249,Expense,Other Services and Charges,10
FY19,Permits,249,Expense,Other Services and Charges,10
FY19,Permits,249,Expense,Other Services and Charges,10
FY19,Public Works,230,Expense,Personal Services,12
FY19,City Clerk,101,Expense,Personal Services,13
FY19,Wastewater Utility,590,Expense,Personal Services,14
FY19,Public Works,591,Expense,Personal Services,14
FY19,Finance,101,Expense,Other Services and Charges,20
FY19,Assessor,101,Expense,Other Services and Charges,20
FY19,Planning,101,Expense,Other Services and Charges,20
FY19,Public Works,101,Expense,Other Services and Charges,22
FY19,City Clerk,101,Expense,Other Services and Charges,22
FY19,Public Works,211,Expense,Personal Services,28
FY19,City Manager,101,Expense,Other Services and Charges,30
FY19,Finance,101,Expense,Other Services and Charges,30
FY19,Planning,256,Expense,Personal Services,40
FY19,Public Works,591,Expense,Other Services and Charges,40
FY19,Water Utility,591,Expense,Other Services and Charges,40
FY19,Public Works,591,Expense,Personal Services,43
FY19,Parks and Recreation,208,Expense,Personal Services,46
FY19,Parks and Recreation,208,Expense,Personal Services,46
FY19,Police,101,Expense,Supplies,50
FY19,Water Utility,591,Expense,Personal Services,52
FY19,Parks and Recreation,208,Expense,Personal Services,53
FY19,Permits,249,Expense,Personal Services,54
FY19,Public Works,101,Expense,Personal Services,61
FY19,Police,101,Expense,Personal Services,63
FY19,Fire,101,Expense,Personal Services,63
FY19,Public Works,101,Expense,Other Services and Charges,66
FY19,Planning,256,Expense,Personal Services,70
FY19,Planning,256,Expense,Personal Services,72
FY19,Wastewater Utility,590,Expense,Other Services and Charges,72
FY19,Public Works,661,Expense,Personal Services,76
FY19,Public Works,101,Expense,Personal Services,77
FY19,Water Utility,591,Expense,Personal Services,77
FY19,Water Utility,591,Expense,Personal Services,77
FY19,Facilities,401,Expense,Personal Services,78
FY19,Fire,101,Expense,Other Services and Charges,80
FY19,Public Works,101,Expense,Other Services and Charges,80
FY19,Wastewater Utility,590,Expense,Personal Services,83
FY19,Permits,249,Expense,Personal Services,84
FY19,Water Utility,591,Expense,Personal Services,86
FY19,Water Utility,591,Expense,Personal Services,89
FY19,Fire,101,Expense,Other Services and Charges,90
FY19,Fire,101,Expense,Personal Services,91
FY19,Facilities,101,Expense,Personal Services,91
FY19,Water Utility,591,Expense,Personal Services,95
FY19,Public Works,101,Expense,Other Services and Charges,100
FY19,Public Works,203,Expense,Personal Services,100
FY19,Water Utility,591,Expense,Personal Services,110
FY19,Water Utility,591,Expense,Personal Services,110
FY19,Public Works,202,Expense,Personal Services,114
FY19,District Court,101,Expense,Other Services and Charges,120
FY19,Water Utility,591,Expense,Other Services and Charges,123
FY19,Water Utility,591,Expense,Other Services and Charges,123
FY19,Public Works,230,Expense,Personal Services,125
FY19,Parks and Recreation,208,Expense,Personal Services,129
FY19,Permits,249,Expense,Personal Services,143
FY19,Assessor,101,Expense,Other Services and Charges,146
FY19,Permits,249,Expense,Personal Services,147
FY19,Parks and Recreation,208,Expense,Personal Services,150
FY19,Planning,256,Expense,Other Services and Charges,150
FY19,Wastewater Utility,590,Expense,Supplies,150
FY19,Water Utility,591,Expense,Other Services and Charges,150
FY19,City Clerk,101,Expense,Other Services and Charges,170
FY19,Wastewater Utility,590,Expense,Personal Services,170
FY19,Water Utility,591,Expense,Personal Services,178
FY19,Water Utility,591,Expense,Personal Services,178
FY19,Water Utility,591,Expense,Personal Services,178
FY19,Permits,249,Expense,Personal Services,179
FY19,Fire,101,Expense,Personal Services,180
FY19,Information Technology,101,Expense,Other Services and Charges,180
FY19,Wastewater Utility,590,Expense,Other Services and Charges,180
FY19,Public Works,101,Expense,Personal Services,183
FY19,Parks and Recreation,208,Expense,Personal Services,188
FY19,Parks and Recreation,208,Expense,Personal Services,193
FY19,Public Works,203,Expense,Personal Services,195
FY19,Public Works,101,Expense,Other Services and Charges,200
FY19,,256,Revenue,Other Revenues,200
FY19,Water Utility,591,Expense,Other Services and Charges,200
FY19,General Government,995,Expense,Supplies,200
FY19,Wastewater Utility,590,Expense,Other Services and Charges,209
FY19,Planning,256,Expense,Other Services and Charges,210
FY19,Public Works,202,Expense,Personal Services,219
FY19,Public Works,203,Expense,Personal Services,219
FY19,Water Utility,591,Expense,Personal Services,224
FY19,Public Works,101,Expense,Personal Services,230
FY19,Public Works,591,Expense,Other Services and Charges,231
FY19,Parks and Recreation,208,Expense,Other Services and Charges,240
FY19,Planning,256,Expense,Other Services and Charges,240
FY19,Facilities,101,Expense,Personal Services,244
FY19,Police,101,Expense,Other Services and Charges,250
FY19,Facilities,401,Expense,Other Services and Charges,250
FY19,Wastewater Utility,590,Expense,Other Services and Charges,250
FY19,Water Utility,591,Expense,Supplies,250
FY19,Public Works,591,Expense,Other Services and Charges,250
FY19,,998,Revenue,Interest and Rentals,250
FY19,Public Works,203,Expense,Personal Services,256
FY19,Finance,101,Expense,Personal Services,268
FY19,Police,101,Expense,Personal Services,270
FY19,Parks and Recreation,208,Expense,Personal Services,275
FY19,Public Works,202,Expense,Personal Services,277
FY19,Public Works,230,Expense,Personal Services,277
FY19,Water Utility,591,Expense,Personal Services,277
FY19,Finance,101,Expense,Personal Services,280
FY19,Planning,256,Expense,Supplies,290
FY19,Water Utility,591,Expense,Personal Services,292
FY19,Police,101,Expense,Personal Services,293
FY19,Water Utility,591,Expense,Personal Services,296
FY19,Fire,101,Expense,Other Services and Charges,300
FY19,Assessor,101,Expense,Other Services and Charges,300
FY19,Public Works,101,Expense,Other Services and Charges,300
FY19,Parks and Recreation,208,Expense,Supplies,300
FY19,,208,Revenue,Other Revenues,300
FY19,Permits,249,Expense,Supplies,300
FY19,Planning,256,Expense,Other Services and Charges,300
FY19,Wastewater Utility,590,Expense,Supplies,300
FY19,Wastewater Utility,590,Expense,Other Services and Charges,300
FY19,Water Utility,591,Expense,Supplies,300
FY19,General Government,995,Expense,Other Services and Charges,300
FY19,Police,101,Expense,Personal Services,301
FY19,Wastewater Utility,590,Expense,Other Services and Charges,303
FY19,Fire,101,Expense,Personal Services,305
FY19,Planning,101,Expense,Personal Services,315
FY19,Water Utility,591,Expense,Personal Services,320
FY19,Planning,256,Expense,Personal Services,323
FY19,Permits,249,Expense,Other Services and Charges,326
FY19,District Court,101,Expense,Personal Services,330
FY19,Planning,256,Expense,Personal Services,337
FY19,Public Works,590,Expense,Other Services and Charges,340
FY19,Parks and Recreation,208,Expense,Other Services and Charges,350
FY19,Parks and Recreation,208,Expense,Other Services and Charges,350
FY19,Permits,249,Expense,Personal Services,350
FY19,Permits,249,Expense,Other Services and Charges,350
FY19,Permits,249,Expense,Capital Outlay,350
FY19,Wastewater Utility,590,Expense,Other Services and Charges,350
FY19,Wastewater Utility,590,Expense,Personal Services,358
FY19,Wastewater Utility,590,Expense,Other Services and Charges,360
FY19,Water Utility,591,Expense,Other Services and Charges,360
FY19,Water Utility,591,Expense,Other Services and Charges,360
FY19,Permits,249,Expense,Personal Services,362
FY19,Public Works,202,Expense,Personal Services,368
FY19,City Clerk,101,Expense,Personal Services,374
FY19,City Clerk,101,Expense,Personal Services,381
FY19,Planning,256,Expense,Supplies,390
FY19,Wastewater Utility,590,Expense,Personal Services,392
FY19,Public Works,590,Expense,Personal Services,394
FY19,Public Works,591,Expense,Personal Services,395
FY19,Public Works,661,Expense,Personal Services,397
FY19,Fire,101,Expense,Other Services and Charges,400
FY19,Permits,249,Expense,Other Services and Charges,400
FY19,Facilities,401,Expense,Other Services and Charges,400
FY19,Water Utility,591,Expense,Supplies,400
FY19,Public Works,661,Expense,Supplies,400
FY19,Public Works,101,Expense,Personal Services,413
FY19,,211,Revenue,Taxes,430
FY19,Permits,249,Expense,Personal Services,434
FY19,Water Utility,591,Expense,Personal Services,434
FY19,Water Utility,591,Expense,Personal Services,434
FY19,Water Utility,591,Expense,Personal Services,447
FY19,Water Utility,591,Expense,Personal Services,447
FY19,Water Utility,591,Expense,Personal Services,447
FY19,Assessor,101,Expense,Other Services and Charges,450
FY19,Parks and Recreation,208,Expense,Other Services and Charges,450
FY19,Permits,249,Expense,Other Services and Charges,450
FY19,Wastewater Utility,590,Expense,Other Services and Charges,450
FY19,Public Works,591,Expense,Personal Services,450
FY19,Wastewater Utility,590,Expense,Debt Service,460
FY19,Public Works,211,Expense,Other Services and Charges,462
FY19,Permits,249,Expense,Personal Services,462
FY19,Assessor,101,Expense,Personal Services,477
FY19,Permits,249,Expense,Personal Services,490
FY19,Police,101,Expense,Personal Services,500
FY19,Fire,101,Expense,Supplies,500
FY19,Purchasing,101,Expense,Supplies,500
FY19,Fire,101,Expense,Supplies,500
FY19,Finance,101,Expense,Other Services and Charges,500
FY19,Police,101,Expense,Other Services and Charges,500
FY19,Information Technology,101,Expense,Other Services and Charges,500
FY19,Facilities,101,Expense,Other Services and Charges,500
FY19,Public Works,203,Expense,Supplies,500
FY19,Public Works,203,Expense,Supplies,500
FY19,Public Works,203,Expense,Other Services and Charges,500
FY19,Parks and Recreation,208,Expense,Other Services and Charges,500
