Fiscal Year,Account Type,Department,Division,Fund Description,Account Category,Account Description,Amount
FY19,Expense,City Council,City Council,General Fund,Personal Services,Salaries - Elected.Salaries - Elected,67625
FY19,Expense,City Council,City Council,General Fund,Personal Services,F.I.C.A..F.I.C.A.,5174
FY19,Expense,City Council,City Council,General Fund,Supplies,Operating Supplies.Operating Supplies,3450
FY19,Expense,City Council,City Council,General Fund,Other Services and Charges,Travel and Training.Travel and Training,5120
FY19,Expense,City Council,City Council,General Fund,Other Services and Charges,Insurance.Liability,1488
FY19,Expense,City Council,City Council,General Fund,Other Services and Charges,Other Services.Other Services,31950
FY19,Expense,City Council,City Council - Communication,General Fund,Other Services and Charges,Printing & Advertising.Printing & Advertising,8400
FY19,Expense,City Council,City Council - Communication,General Fund,Other Services and Charges,Other Services.Other Services,50600
FY19,Expense,District Court,District Court,General Fund,Personal Services,Salaries - Elected.Salaries - Elected,91448
FY19,Expense,District Court,District Court,General Fund,Personal Services,Salaries.Salaries,666081
FY19,Expense,District Court,District Court,General Fund,Personal Services,Salaries - Temporary.Salaries - Temporary,175248
FY19,Expense,District Court,District Court,General Fund,Personal Services,Salaries - Overtime.Salaries - Overtime,5000
FY19,Expense,District Court,District Court,General Fund,Personal Services,F.I.C.A..F.I.C.A.,65800
FY19,Expense,District Court,District Court,General Fund,Personal Services,Hospitalization Insurance.Hospitalization Insurance,226199
FY19,Expense,District Court,District Court,General Fund,Personal Services,Life Insurance.Life Insurance,1027
FY19,Expense,District Court,District Court,General Fund,Personal Services,Pension.Pension,212748
FY19,Expense,District Court,District Court,General Fund,Personal Services,Pension.DC Plan,13605
FY19,Expense,District Court,District Court,General Fund,Personal Services,Pension.Retiree Health - DC Plan,5315
FY19,Expense,District Court,District Court,General Fund,Personal Services,Workers Comp. Insurance.Work Comp. Insurance,3342
FY19,Expense,District Court,District Court,General Fund,Personal Services,CIP and Longevity.CIP and Longevity,13796
FY19,Expense,District Court,District Court,General Fund,Supplies,Office Supplies.Office Supplies,33300
FY19,Expense,District Court,District Court,General Fund,Supplies,Uniforms.Uniforms,1500
FY19,Expense,District Court,District Court,General Fund,Other Services and Charges,Professional Services.Professional Services,44700
FY19,Expense,District Court,District Court,General Fund,Other Services and Charges,Data Processing Services.Data Processing Services,33000
FY19,Expense,District Court,District Court,General Fund,Other Services and Charges,Witness and Jury Fees.Witness and Jury Fees,12000
FY19,Expense,District Court,District Court,General Fund,Other Services and Charges,Communications.Communications,6900
FY19,Expense,District Court,District Court,General Fund,Other Services and Charges,Travel and Training.Travel and Training,2000
FY19,Expense,District Court,District Court,General Fund,Other Services and Charges,Insurance.Liability,20227
FY19,Expense,District Court,District Court,General Fund,Other Services and Charges,Insurance.Property and Bonds,120
FY19,Expense,District Court,District Court,General Fund,Other Services and Charges,Repairs and Maintenance.Repairs and Maintenance,2000
FY19,Expense,District Court,District Court,General Fund,Other Services and Charges,Other Services.Other Services,19200
FY19,Expense,District Court,Building,General Fund,Supplies,Operating Supplies.Operating Supplies,6300
FY19,Expense,District Court,Building,General Fund,Other Services and Charges,Insurance.Property and Bonds,2310
FY19,Expense,District Court,Building,General Fund,Other Services and Charges,Public Utilities.Public Utilities,79680
FY19,Expense,District Court,Building,General Fund,Other Services and Charges,Repairs and Maintenance.Repairs and Maintenance,109320
FY19,Expense,District Court,Building,General Fund,Capital Outlay,Capital Outlay.Capital Outlay,87000
FY19,Expense,District Court,District Court - Probation,General Fund,Personal Services,Salaries.Salaries,246495
FY19,Expense,District Court,District Court - Probation,General Fund,Personal Services,F.I.C.A..F.I.C.A.,19107
FY19,Expense,District Court,District Court - Probation,General Fund,Personal Services,Hospitalization Insurance.Hospitalization Insurance,47041
FY19,Expense,District Court,District Court - Probation,General Fund,Personal Services,Life Insurance.Life Insurance,330
FY19,Expense,District Court,District Court - Probation,General Fund,Personal Services,Pension.Pension,59882
FY19,Expense,District Court,District Court - Probation,General Fund,Personal Services,Pension.DC Plan,13967
FY19,Expense,District Court,District Court - Probation,General Fund,Personal Services,Pension.Retiree Health - DC Plan,3544
FY19,Expense,District Court,District Court - Probation,General Fund,Personal Services,Workers Comp. Insurance.Work Comp. Insurance,4216
FY19,Expense,District Court,District Court - Probation,General Fund,Personal Services,CIP and Longevity.CIP and Longevity,3260
FY19,Expense,District Court,District Court - Probation,General Fund,Other Services and Charges,Travel and Training.Travel and Training,1500
FY19,Expense,District Court,District Court - Probation,General Fund,Other Services and Charges,Insurance.Liability,5252
FY19,Expense,City Manager,City Manager,General Fund,Personal Services,Salaries.Salaries,640559
FY19,Expense,City Manager,City Manager,General Fund,Personal Services,Salaries - Temporary.Salaries - Temporary,5500
FY19,Expense,City Manager,City Manager,General Fund,Personal Services,Salaries - Overtime.Salaries - Overtime,1000
FY19,Expense,City Manager,City Manager,General Fund,Personal Services,F.I.C.A..F.I.C.A.,48081
FY19,Expense,City Manager,City Manager,General Fund,Personal Services,Hospitalization Insurance.Hospitalization Insurance,126749
FY19,Expense,City Manager,City Manager,General Fund,Personal Services,Life Insurance.Life Insurance,862
FY19,Expense,City Manager,City Manager,General Fund,Personal Services,Pension.Pension,169967
FY19,Expense,City Manager,City Manager,General Fund,Personal Services,Pension.DC Plan,24992
FY19,Expense,City Manager,City Manager,General Fund,Personal Services,Pension.Retiree Health - DC Plan,13009
FY19,Expense,City Manager,City Manager,General Fund,Personal Services,Workers Comp. Insurance.Work Comp. Insurance,906
FY19,Expense,City Manager,City Manager,General Fund,Personal Services,CIP and Longevity.CIP and Longevity,7109
FY19,Expense,City Manager,City Manager,General Fund,Supplies,Office Supplies.Office Supplies,11175
FY19,Expense,City Manager,City Manager,General Fund,Supplies,Awards.Awards,9000
FY19,Expense,City Manager,City Manager,General Fund,Other Services and Charges,Professional Services.Professional Services,46880
FY19,Expense,City Manager,City Manager,General Fund,Other Services and Charges,Communications.Cellular Phones,4800
FY19,Expense,City Manager,City Manager,General Fund,Other Services and Charges,Travel and Training.Travel and Training,19980
FY19,Expense,City Manager,City Manager,General Fund,Other Services and Charges,Printing & Advertising.Printing & Advertising,20830
FY19,Expense,City Manager,City Manager,General Fund,Other Services and Charges,Insurance.Liability,13860
FY19,Expense,City Manager,City Manager,General Fund,Other Services and Charges,Insurance.Property and Bonds,30
FY19,Expense,City Manager,City Manager,General Fund,Other Services and Charges,Motor Pool Rental.Equipment Rental,7800
FY19,Expense,City Manager,City Manager,General Fund,Other Services and Charges,Motor Pool Rental.Equipment Maintenance,5000
