Fiscal Year,Department,Fund Code,Account Type,Account Category,Amount,,GL_Account_ID,GL_Account_Delimited,Column1,Column6,GL_Organization_Scrunched,GL_Organization_Description_Delimited,GL_Base_and_Detail_Scrunched,Account Description,Column3,Fund Description,Department Code,Column2,Division Code,Division,Budget_Type,Budget_Level,GL_Account_Status,Paying_Fund,Receipting_Fund,CurrentFiscalYear,Fund_Category,Fund_Category_Sequence,Fund_Type,Fund_Type_Sequence,Column4,Column5,Account_Class_Level_1_Sequence
FY19,City Council,1010,Expense,Personal Services,67625,,1039,101-101-10100-703.000,,,10110110100,General Fund-City Council-City Council,703000,Salaries - Elected.Salaries - Elected,,General Fund,101,,10100,City Council,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,,,10
FY19,City Council,1010,Expense,Personal Services,5174,,1041,101-101-10100-715.000,,,10110110100,General Fund-City Council-City Council,715000,F.I.C.A..F.I.C.A.,,General Fund,101,,10100,City Council,Account Classification,Department,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,,,10
FY19,City Council,1010,Expense,Supplies,3450,,1043,101-101-10100-740.000,,,10110110100,General Fund-City Council-City Council,740000,Operating Supplies.Operating Supplies,,General Fund,101,,10100,City Council,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,,,30
FY19,City Council,1010,Expense,Other Services and Charges,5120,,1047,101-101-10100-860.000,,,10110110100,General Fund-City Council-City Council,860000,Travel and Training.Travel and Training,,General Fund,101,,10100,City Council,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,,,60
FY19,City Council,1010,Expense,Other Services and Charges,1488,,1049,101-101-10100-910.000,,,10110110100,General Fund-City Council-City Council,910000,Insurance.Liability,,General Fund,101,,10100,City Council,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,,,60
FY19,City Council,1010,Expense,Other Services and Charges,31950,,1052,101-101-10100-956.000,,,10110110100,General Fund-City Council-City Council,956000,Other Services.Other Services,,General Fund,101,,10100,City Council,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,,,60
FY19,City Council,1010,Expense,Other Services and Charges,8400,,1054,101-101-10300-900.000,,,10110110300,General Fund-City Council-City Council - Communication,900000,Printing & Advertising.Printing & Advertising,,General Fund,101,,10300,City Council - Communication,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,,,60
FY19,City Council,1010,Expense,Other Services and Charges,50600,,1056,101-101-10300-956.000,,,10110110300,General Fund-City Council-City Council - Communication,956000,Other Services.Other Services,,General Fund,101,,10300,City Council - Communication,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,,,60
FY19,District Court,1010,Expense,Personal Services,91448,,1058,101-136-13600-703.000,,,10113613600,General Fund-District Court-District Court,703000,Salaries - Elected.Salaries - Elected,,General Fund,136,,13600,District Court,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,,,10
FY19,District Court,1010,Expense,Personal Services,666081,,1060,101-136-13600-706.000,,,10113613600,General Fund-District Court-District Court,706000,Salaries.Salaries,,General Fund,136,,13600,District Court,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,,,10
