budget_year,department,fund_code,account_type,amount,account_category
2019,City Council,101,Expense,67625,Personal Services
2019,District Court,101,Expense,91448,Personal Services
2019,Police,101,Expense,841770,Personal Services
2019,Police,101,Expense,1348519,Personal Services
2019,Police,101,Expense,4500746,Personal Services
2019,Fire,101,Expense,184182,Personal Services
2019,Fire,101,Expense,1783635,Personal Services
2019,Fire,101,Expense,67026,Personal Services
2019,Planning,101,Expense,235594,Personal Services
2019,Public Works,101,Expense,1000,Personal Services
2019,Public Works,101,Expense,2000,Personal Services
2019,Fire,101,Expense,35588,Personal Services
2019,Police,101,Expense,374074,Personal Services
2019,Finance,101,Expense,195457,Personal Services
2019,Police,101,Expense,49737,Personal Services
2019,Police,101,Expense,215828,Personal Services
2019,Police,101,Expense,99970,Personal Services
2019,Police,101,Expense,45118,Personal Services
2019,Information Technology,101,Expense,587092,Personal Services
2019,Facilities,101,Expense,65980,Personal Services
2019,City Clerk,101,Expense,272046,Personal Services
2019,Assessor,101,Expense,352940,Personal Services
2019,District Court,101,Expense,666081,Personal Services
2019,District Court,101,Expense,246495,Personal Services
2019,City Manager,101,Expense,640559,Personal Services
2019,Finance,101,Expense,496242,Personal Services
2019,Fire,101,Expense,85000,Personal Services
2019,Attorney,101,Expense,0,Personal Services
2019,Finance,101,Expense,2500,Personal Services
2019,City Manager,101,Expense,5500,Personal Services
2019,District Court,101,Expense,175248,Personal Services
2019,Assessor,101,Expense,25080,Personal Services
2019,City Clerk,101,Expense,1000,Personal Services
2019,Facilities,101,Expense,2000,Personal Services
2019,Information Technology,101,Expense,18570,Personal Services
2019,Police,101,Expense,87360,Personal Services
2019,Finance,101,Expense,5000,Personal Services
2019,Fire,101,Expense,60000,Personal Services
2019,District Court,101,Expense,0,Personal Services
2019,Fire,101,Expense,125000,Personal Services
2019,Attorney,101,Expense,0,Personal Services
2019,Public Works,101,Expense,1000,Personal Services
2019,District Court,101,Expense,0,Personal Services
2019,Police,101,Expense,15000,Personal Services
2019,Finance,101,Expense,1500,Personal Services
2019,Police,101,Expense,1500,Personal Services
2019,Police,101,Expense,1500,Personal Services
2019,Police,101,Expense,2000,Personal Services
2019,Police,101,Expense,500,Personal Services
2019,Information Technology,101,Expense,11800,Personal Services
2019,Facilities,101,Expense,2000,Personal Services
2019,City Clerk,101,Expense,12000,Personal Services
2019,District Court,101,Expense,5000,Personal Services
2019,Finance,101,Expense,1000,Personal Services
2019,Fire,101,Expense,37000,Personal Services
2019,City Manager,101,Expense,1000,Personal Services
2019,Fire,101,Expense,0,Personal Services
2019,Police,101,Expense,0,Personal Services
2019,Police,101,Expense,55000,Personal Services
2019,Police,101,Expense,100000,Personal Services
2019,Police,101,Expense,415000,Personal Services
2019,Fire,101,Expense,300000,Personal Services
