budget_year,department,fund_code,account_type,amount,amount,,,,,
2019,City Council,101,Expense,Personal Services,67625,,,,,
2019,District Court,101,Expense,Personal Services,91448,,,,,
2019,Police,101,Expense,Personal Services,841770,,,,,
2019,Police,101,Expense,Personal Services,1348519,,,,,
2019,Police,101,Expense,Personal Services,4500746,,,,,
2019,Fire,101,Expense,Personal Services,184182,,,,,
2019,Fire,101,Expense,Personal Services,1783635,,,,,
2019,Fire,101,Expense,Personal Services,67026,,,,,
2019,Planning,101,Expense,Personal Services,215594,,,,,
2019,Public Works,101,Expense,Personal Services,1000,,,,,
2019,Public Works,101,Expense,Personal Services,2000,,,,,
2019,Fire,101,Expense,Personal Services,35588,,,,,
2019,Police,101,Expense,Personal Services,374074,,,,,
2019,Finance,101,Expense,Personal Services,195457,,,,,
2019,Police,101,Expense,Personal Services,49737,,,,,
2019,Police,101,Expense,Personal Services,215828,,,,,
2019,Police,101,Expense,Personal Services,99970,,,,,
2019,Police,101,Expense,Personal Services,45118,,,,,
2019,Information Technology,101,Expense,Personal Services,587092,,,,,
2019,Facilities,101,Expense,Personal Services,65980,,,,,
2019,City Clerk,101,Expense,Personal Services,272046,,,,,
2019,Assessor,101,Expense,Personal Services,352940,,,,,
2019,District Court,101,Expense,Personal Services,666081,,,,,
2019,District Court,101,Expense,Personal Services,246495,,,,,
2019,City Manager,101,Expense,Personal Services,640559,,,,,
2019,Finance,101,Expense,Personal Services,496242,,,,,
2019,Fire,101,Expense,Personal Services,85000,,,,,
2019,Attorney,101,Expense,Personal Services,150000,,,,,
2019,Finance,101,Expense,Personal Services,2500,,,,,
2019,City Manager,101,Expense,Personal Services,5500,,,,,
2019,District Court,101,Expense,Personal Services,175248,,,,,
2019,Assessor,101,Expense,Personal Services,25080,,,,,
2019,City Clerk,101,Expense,Personal Services,1000,,,,,
2019,Facilities,101,Expense,Personal Services,2000,,,,,
2019,Information Technology,101,Expense,Personal Services,18570,,,,,
2019,Police,101,Expense,Personal Services,87360,,,,,
2019,Finance,101,Expense,Personal Services,5000,,,,,
2019,Fire,101,Expense,Personal Services,60000,,,,,
2019,District Court,101,Expense,Personal Services,51056.48,,,,,
2019,Fire,101,Expense,Personal Services,125000,,,,,
2019,Attorney,101,Expense,Personal Services,30000,,,,,
2019,Public Works,101,Expense,Personal Services,1000,,,,,
2019,District Court,101,Expense,Personal Services,0,,,,,
2019,Police,101,Expense,Personal Services,15000,,,,,
2019,Finance,101,Expense,Personal Services,1500,,,,,
2019,Police,101,Expense,Personal Services,1500,,,,,
2019,Police,101,Expense,Personal Services,1500,,,,,
2019,Police,101,Expense,Personal Services,2000,,,,,
2019,Police,101,Expense,Personal Services,500,,,,,
2019,Information Technology,101,Expense,Personal Services,11800,,,,,
2019,Facilities,101,Expense,Personal Services,2000,,,,,
2019,City Clerk,101,Expense,Personal Services,12000,,,,,
2019,District Court,101,Expense,Personal Services,5000,,,,,
2019,Finance,101,Expense,Personal Services,1000,,,,,
2019,Fire,101,Expense,Personal Services,37000,,,,,
2019,City Manager,101,Expense,Personal Services,1000,,,,,
2019,Fire,101,Expense,Personal Services,0,,,,,
2019,Police,101,Expense,Personal Services,3301.19,,,,,
2019,Police,101,Expense,Personal Services,55000,,,,,
2019,Police,101,Expense,Personal Services,100000,,,,,
2019,Police,101,Expense,Personal Services,415000,,,,,
2019,Fire,101,Expense,Personal Services,300000,,,,,
2019,Fire,101,Expense,Personal Services,5000,,,,,
2019,Planning,101,Expense,Personal Services,4500,,,,,
2019,Assessor,101,Expense,Personal Services,6600,,,,,
2019,City Clerk,101,Expense,Personal Services,72000,,,,,
2019,Public Works,101,Expense,Personal Services,230,,,,,
2019,Public Works,101,Expense,Personal Services,77,,,,,
2019,Planning,101,Expense,Personal Services,18457,,,,,
2019,Fire,101,Expense,Personal Services,5579,,,,,
2019,City Clerk,101,Expense,Personal Services,995,,,,,
2019,Assessor,101,Expense,Personal Services,29215,,,,,
2019,City Clerk,101,Expense,Personal Services,21176,,,,,
2019,Finance,101,Expense,Personal Services,38808,,,,,
2019,City Manager,101,Expense,Personal Services,48081,,,,,
2019,District Court,101,Expense,Personal Services,65800,,,,,
2019,District Court,101,Expense,Personal Services,23012.82,,,,,
2019,City Council,101,Expense,Personal Services,5174,,,,,
2019,Assessor,101,Expense,Personal Services,505,,,,,
2019,Finance,101,Expense,Personal Services,15655,,,,,
2019,Police,101,Expense,Personal Services,29991,,,,,
2019,Police,101,Expense,Personal Services,385195,,,,,
2019,Fire,101,Expense,Personal Services,164845,,,,,
2019,Fire,101,Expense,Personal Services,16827,,,,,
2019,Police,101,Expense,Personal Services,115925,,,,,
2019,Police,101,Expense,Personal Services,16647,,,,,
2019,Police,101,Expense,Personal Services,77861,,,,,
2019,Police,101,Expense,Personal Services,3606,,,,,
2019,Facilities,101,Expense,Personal Services,5463,,,,,
2019,Information Technology,101,Expense,Personal Services,47795,,,,,
2019,Fire,101,Expense,Personal Services,9334,,,,,
2019,Police,101,Expense,Personal Services,519.91,,,,,
2019,Attorney,101,Expense,Personal Services,13770,,,,,
2019,Fire,101,Expense,Personal Services,9563,,,,,
2019,Information Technology,101,Expense,Personal Services,135631,,,,,
2019,Facilities,101,Expense,Personal Services,18270,,,,,
2019,Police,101,Expense,Personal Services,21865,,,,,
2019,Police,101,Expense,Personal Services,172158,,,,,
2019,Police,101,Expense,Personal Services,82320,,,,,
2019,Police,101,Expense,Personal Services,360082,,,,,
2019,Fire,101,Expense,Personal Services,64470,,,,,
2019,Fire,101,Expense,Personal Services,511482,,,,,
2019,Police,101,Expense,Personal Services,1053859,,,,,
2019,Police,101,Expense,Personal Services,111248,,,,,
2019,Finance,101,Expense,Personal Services,49950,,,,,
2019,District Court,101,Expense,Personal Services,47041,,,,,
2019,District Court,101,Expense,Personal Services,226199,,,,,
2019,City Manager,101,Expense,Personal Services,126749,,,,,
2019,Finance,101,Expense,Personal Services,91975.92,,,,,
2019,City Clerk,101,Expense,Personal Services,102609,,,,,
2019,Assessor,101,Expense,Personal Services,85886,,,,,
2019,Fire,101,Expense,Personal Services,21865,,,,,
2019,Planning,101,Expense,Personal Services,31567,,,,,
2019,Attorney,101,Expense,Personal Services,16090,,,,,
2019,Public Works,101,Expense,Personal Services,3,,,,,
2019,Public Works,101,Expense,Personal Services,2,,,,,
2019,Planning,101,Expense,Personal Services,315,,,,,
2019,Fire,101,Expense,Personal Services,91,,,,,
2019,Assessor,101,Expense,Personal Services,477,,,,,
2019,City Clerk,101,Expense,Personal Services,374,,,,,
2019,Finance,101,Expense,Personal Services,668,,,,,
2019,City Manager,101,Expense,Personal Services,862,,,,,
2019,District Court,101,Expense,Personal Services,1027,,,,,
2019,District Court,101,Expense,Personal Services,330,,,,,
2019,Finance,101,Expense,Personal Services,268,,,,,
2019,Police,101,Expense,Personal Services,514,,,,,
2019,Police,101,Expense,Personal Services,6119,,,,,
2019,Fire,101,Expense,Personal Services,2417,,,,,
2019,Fire,101,Expense,Personal Services,305,,,,,
2019,Police,101,Expense,Personal Services,1880,,,,,
2019,Police,101,Expense,Personal Services,293,,,,,
2019,Police,101,Expense,Personal Services,1263,,,,,
2019,Police,101,Expense,Personal Services,63,,,,,
2019,Facilities,101,Expense,Personal Services,91,,,,,
2019,Information Technology,101,Expense,Personal Services,793,,,,,
2019,Fire,101,Expense,Personal Services,63,,,,,
2019,Attorney,101,Expense,Personal Services,210,,,,,
2019,Information Technology,101,Expense,Personal Services,170307,,,,,
2019,Facilities,101,Expense,Personal Services,28184,,,,,
2019,Police,101,Expense,Personal Services,9697,,,,,
2019,Police,101,Expense,Personal Services,290874,,,,,
2019,Police,101,Expense,Personal Services,43331,,,,,
2019,Police,101,Expense,Personal Services,461772,,,,,
2019,Fire,101,Expense,Personal Services,44145,,,,,
2019,Fire,101,Expense,Personal Services,570993,,,,,
2019,Police,101,Expense,Personal Services,1308462,,,,,
2019,Police,101,Expense,Personal Services,78879,,,,,
2019,Finance,101,Expense,Personal Services,55104,,,,,
2019,District Court,101,Expense,Personal Services,59882,,,,,
2019,District Court,101,Expense,Personal Services,212748,,,,,
2019,City Manager,101,Expense,Personal Services,169967,,,,,
2019,Finance,101,Expense,Personal Services,116766,,,,,
2019,City Clerk,101,Expense,Personal Services,72022,,,,,
2019,Assessor,101,Expense,Personal Services,103291,,,,,
2019,City Clerk,101,Expense,Personal Services,3849,,,,,
2019,Fire,101,Expense,Personal Services,23388,,,,,
2019,Planning,101,Expense,Personal Services,67129,,,,,
2019,Public Works,101,Expense,Personal Services,413,,,,,
2019,Public Works,101,Expense,Personal Services,826,,,,,
2019,Attorney,101,Expense,Personal Services,30105,,,,,
2019,Fire,101,Expense,Personal Services,46047,,,,,
2019,Police,101,Expense,Personal Services,3636.39,,,,,
2019,Assessor,101,Expense,Personal Services,6152,,,,,
2019,Facilities,101,Expense,Personal Services,700,,,,,
2019,Finance,101,Expense,Personal Services,5493,,,,,
2019,Fire,101,Expense,Personal Services,4000,,,,,
2019,Police,101,Expense,Personal Services,23163,,,,,
2019,Fire,101,Expense,Personal Services,17582,,,,,
2019,Police,101,Expense,Personal Services,16935,,,,,
2019,Police,101,Expense,Personal Services,3610,,,,,
2019,Attorney,101,Expense,Personal Services,12000,,,,,
2019,Finance,101,Expense,Personal Services,30154,,,,,
2019,City Manager,101,Expense,Personal Services,24992,,,,,
2019,Police,101,Expense,Personal Services,25111,,,,,
2019,Information Technology,101,Expense,Personal Services,17578,,,,,
2019,Police,101,Expense,Personal Services,181007,,,,,
2019,Fire,101,Expense,Personal Services,66331,,,,,
2019,Police,101,Expense,Personal Services,18109,,,,,
2019,Planning,101,Expense,Personal Services,7119,,,,,
2019,City Clerk,101,Expense,Personal Services,11019,,,,,
2019,District Court,101,Expense,Personal Services,13605,,,,,
2019,District Court,101,Expense,Personal Services,13967,,,,,
2019,Planning,101,Expense,Personal Services,2734,,,,,
2019,Police,101,Expense,Personal Services,4867,,,,,
2019,Police,101,Expense,Personal Services,83602,,,,,
2019,Finance,101,Expense,Personal Services,10270,,,,,
2019,City Manager,101,Expense,Personal Services,13009,,,,,
2019,Fire,101,Expense,Personal Services,0,,,,,
