FISCAL YEAR,FUND CODE,FUND DESCRIPTION,DEPARTMENT DESCRIPTION,DIVISION DESCRIPTION,ACCOUNT DESCRIPTION,BUDGET,ACCOUNT TYPE,ACCOUNT CATEGORY
2019,101,General Fund,City Council,City Council,Salaries - Elected.Salaries - Elected,67625,Expense,Personal Services
2019,101,General Fund,District Court,District Court,Salaries - Elected.Salaries - Elected,91448,Expense,Personal Services
2019,101,General Fund,Police,Administration Services,Salaries - Uniform.Salaries - Uniform,841770,Expense,Personal Services
2019,101,General Fund,Police,Detective Bureau,Salaries - Uniform.Salaries - Uniform,1348519,Expense,Personal Services
2019,101,General Fund,Police,Patrol,Salaries - Uniform.Salaries - Uniform,4500746,Expense,Personal Services
2019,101,General Fund,Fire,Administration Services,Salaries - Uniform.Salaries - Uniform,184182,Expense,Personal Services
2019,101,General Fund,Fire,Fighting,Salaries - Uniform.Salaries - Uniform,1783635,Expense,Personal Services
2019,101,General Fund,Fire,Prevention,Salaries - Uniform.Salaries - Uniform,67026,Expense,Personal Services
2019,101,General Fund,Planning,Planning,Salaries.Salaries,235594,Expense,Personal Services
2019,101,General Fund,Public Works,Kentwood Hwys/Street(Non Act 51),Salaries.Salaries,1000,Expense,Personal Services
2019,101,General Fund,Public Works,Other Govt/Agencies(Non Act 51),Salaries.Salaries,2000,Expense,Personal Services
2019,101,General Fund,Fire,Administration Services,Salaries.Salaries,35588,Expense,Personal Services
2019,101,General Fund,Police,Forensic Science Unit,Salaries.Salaries,374074,Expense,Personal Services
2019,101,General Fund,Finance,Treasurer,Salaries.Salaries,195457,Expense,Personal Services
2019,101,General Fund,Police,Detective Bureau,Salaries.Salaries,49737,Expense,Personal Services
2019,101,General Fund,Police,Records Management,Salaries.Salaries,215828,Expense,Personal Services
2019,101,General Fund,Police,Administration Services,Salaries.Salaries,99970,Expense,Personal Services
2019,101,General Fund,Police,Building ,Salaries.Salaries,45118,Expense,Personal Services
2019,101,General Fund,Information Technology,Information Technology,Salaries.Salaries,587092,Expense,Personal Services
2019,101,General Fund,Facilities,Facilities Maintenance,Salaries.Salaries,65980,Expense,Personal Services
2019,101,General Fund,City Clerk,City Clerk,Salaries.Salaries,272046,Expense,Personal Services
2019,101,General Fund,Assessor,Assessor,Salaries.Salaries,352940,Expense,Personal Services
2019,101,General Fund,District Court,District Court,Salaries.Salaries,666081,Expense,Personal Services
2019,101,General Fund,District Court,District Court - Probation,Salaries.Salaries,246495,Expense,Personal Services
2019,101,General Fund,City Manager,City Manager,Salaries.Salaries,640559,Expense,Personal Services
2019,101,General Fund,Finance,Accounting,Salaries.Salaries,496242,Expense,Personal Services
2019,101,General Fund,Fire,Fighting - Dual Empl. Reserves,Salaries.Salaries,85000,Expense,Personal Services
2019,101,General Fund,Attorney,Legal Services,Salaries.Salaries,0,Expense,Personal Services
2019,101,General Fund,Finance,Accounting,Salaries - Temporary.Salaries - Temporary,2500,Expense,Personal Services
2019,101,General Fund,City Manager,City Manager,Salaries - Temporary.Salaries - Temporary,5500,Expense,Personal Services
2019,101,General Fund,District Court,District Court,Salaries - Temporary.Salaries - Temporary,175248,Expense,Personal Services
2019,101,General Fund,Assessor,Assessor,Salaries - Temporary.Salaries - Temporary,25080,Expense,Personal Services
2019,101,General Fund,City Clerk,City Clerk - Election,Salaries - Temporary.Salaries - Temporary,1000,Expense,Personal Services
2019,101,General Fund,Facilities,Facilities Maintenance,Salaries - Temporary.Salaries - Temporary,2000,Expense,Personal Services
2019,101,General Fund,Information Technology,Information Technology,Salaries - Temporary.Salaries - Temporary,18570,Expense,Personal Services
2019,101,General Fund,Police,Patrol,Salaries - Temporary.Salaries - Temporary,87360,Expense,Personal Services
2019,101,General Fund,Finance,Treasurer,Salaries - Temporary.Salaries - Temporary,5000,Expense,Personal Services
2019,101,General Fund,Fire,Fighting,Salaries - Temporary.Salaries - Temporary,60000,Expense,Personal Services
2019,101,General Fund,District Court,District Court - Probation,Salaries - Temporary.Salaries - Temporary,0,Expense,Personal Services
2019,101,General Fund,Fire,Fighting - Paid on Call,Salaries - Temporary.Salaries - Temporary,125000,Expense,Personal Services
2019,101,General Fund,Attorney,Legal Services,Salaries - Temporary.Salaries - Temporary,0,Expense,Personal Services
2019,101,General Fund,Public Works,Other Govt/Agencies(Non Act 51),Salaries - Temporary.Salaries - Temporary,1000,Expense,Personal Services
2019,101,General Fund,District Court,District Court - Probation,Salaries - Overtime.Salaries - Overtime,0,Expense,Personal Services
2019,101,General Fund,Police,Forensic Science Unit,Salaries - Overtime.Salaries - Overtime,15000,Expense,Personal Services
2019,101,General Fund,Finance,Treasurer,Salaries - Overtime.Salaries - Overtime,1500,Expense,Personal Services
2019,101,General Fund,Police,Records Management,Salaries - Overtime.Salaries - Overtime,1500,Expense,Personal Services
2019,101,General Fund,Police,Detective Bureau,Salaries - Overtime.Salaries - Overtime,1500,Expense,Personal Services
2019,101,General Fund,Police,Building ,Salaries - Overtime.Salaries - Overtime,2000,Expense,Personal Services
2019,101,General Fund,Police,Administration Services,Salaries - Overtime.Salaries - Overtime,500,Expense,Personal Services
2019,101,General Fund,Information Technology,Information Technology,Salaries - Overtime.Salaries - Overtime,11800,Expense,Personal Services
2019,101,General Fund,Facilities,Facilities Maintenance,Salaries - Overtime.Salaries - Overtime,2000,Expense,Personal Services
2019,101,General Fund,City Clerk,City Clerk - Election,Salaries - Overtime.Salaries - Overtime,12000,Expense,Personal Services
2019,101,General Fund,District Court,District Court,Salaries - Overtime.Salaries - Overtime,5000,Expense,Personal Services
2019,101,General Fund,Finance,Accounting,Salaries - Overtime.Salaries - Overtime,1000,Expense,Personal Services
2019,101,General Fund,Fire,Fighting - Dual Empl. Reserves,Salaries - Overtime.Salaries - Overtime,37000,Expense,Personal Services
2019,101,General Fund,City Manager,City Manager,Salaries - Overtime.Salaries - Overtime,1000,Expense,Personal Services
2019,101,General Fund,Fire,Administration Services,Salaries - Overtime.Salaries - Overtime,0,Expense,Personal Services
2019,101,General Fund,Police,OHSP - Strategic Traffic Enf ,Salaries - Uniform O.T..Salaries - Uniform O.T.,0,Expense,Personal Services
2019,101,General Fund,Police,Administration Services,Salaries - Uniform O.T..Salaries - Uniform O.T.,55000,Expense,Personal Services
2019,101,General Fund,Police,Detective Bureau,Salaries - Uniform O.T..Salaries - Uniform O.T.,100000,Expense,Personal Services
2019,101,General Fund,Police,Patrol,Salaries - Uniform O.T..Salaries - Uniform O.T.,415000,Expense,Personal Services
2019,101,General Fund,Fire,Fighting,Salaries - Uniform O.T..Salaries - Uniform O.T.,300000,Expense,Personal Services
2019,101,General Fund,Fire,Prevention,Salaries - Uniform O.T..Salaries - Uniform O.T.,5000,Expense,Personal Services
2019,101,General Fund,Planning,Planning,Boards and Commissions.Boards and Commissions,4500,Expense,Personal Services
2019,101,General Fund,Assessor,Board of Review,Boards and Commissions.Boards and Commissions,6600,Expense,Personal Services
2019,101,General Fund,City Clerk,City Clerk - Election,Salaries - Officials.Salaries - Officials,72000,Expense,Personal Services
2019,101,General Fund,Public Works,Other Govt/Agencies(Non Act 51),F.I.C.A..F.I.C.A.,230,Expense,Personal Services
2019,101,General Fund,Public Works,Kentwood Hwys/Street(Non Act 51),F.I.C.A..F.I.C.A.,77,Expense,Personal Services
2019,101,General Fund,Planning,Planning,F.I.C.A..F.I.C.A.,18457,Expense,Personal Services
2019,101,General Fund,Fire,Prevention,F.I.C.A..F.I.C.A.,5579,Expense,Personal Services
2019,101,General Fund,City Clerk,City Clerk - Election,F.I.C.A..F.I.C.A.,995,Expense,Personal Services
2019,101,General Fund,Assessor,Assessor,F.I.C.A..F.I.C.A.,29215,Expense,Personal Services
2019,101,General Fund,City Clerk,City Clerk,F.I.C.A..F.I.C.A.,21176,Expense,Personal Services
2019,101,General Fund,Finance,Accounting,F.I.C.A..F.I.C.A.,38808,Expense,Personal Services
2019,101,General Fund,City Manager,City Manager,F.I.C.A..F.I.C.A.,48081,Expense,Personal Services
2019,101,General Fund,District Court,District Court,F.I.C.A..F.I.C.A.,65800,Expense,Personal Services
2019,101,General Fund,District Court,District Court - Probation,F.I.C.A..F.I.C.A.,19107,Expense,Personal Services
2019,101,General Fund,City Council,City Council,F.I.C.A..F.I.C.A.,5174,Expense,Personal Services
2019,101,General Fund,Assessor,Board of Review,F.I.C.A..F.I.C.A.,505,Expense,Personal Services
2019,101,General Fund,Finance,Treasurer,F.I.C.A..F.I.C.A.,15655,Expense,Personal Services
2019,101,General Fund,Police,Forensic Science Unit,F.I.C.A..F.I.C.A.,29991,Expense,Personal Services
2019,101,General Fund,Police,Patrol,F.I.C.A..F.I.C.A.,385195,Expense,Personal Services
2019,101,General Fund,Fire,Fighting,F.I.C.A..F.I.C.A.,164845,Expense,Personal Services
2019,101,General Fund,Fire,Administration Services,F.I.C.A..F.I.C.A.,16827,Expense,Personal Services
2019,101,General Fund,Police,Detective Bureau,F.I.C.A..F.I.C.A.,115925,Expense,Personal Services
2019,101,General Fund,Police,Records Management,F.I.C.A..F.I.C.A.,16647,Expense,Personal Services
2019,101,General Fund,Police,Administration Services,F.I.C.A..F.I.C.A.,77861,Expense,Personal Services
2019,101,General Fund,Police,Building ,F.I.C.A..F.I.C.A.,3606,Expense,Personal Services
2019,101,General Fund,Facilities,Facilities Maintenance,F.I.C.A..F.I.C.A.,5463,Expense,Personal Services
2019,101,General Fund,Information Technology,Information Technology,F.I.C.A..F.I.C.A.,47795,Expense,Personal Services
2019,101,General Fund,Fire,Fighting - Dual Empl. Reserves,F.I.C.A..F.I.C.A.,9334,Expense,Personal Services
2019,101,General Fund,Police,OHSP - Strategic Traffic Enf ,F.I.C.A..F.I.C.A.,0,Expense,Personal Services
2019,101,General Fund,Attorney,Legal Services,F.I.C.A..F.I.C.A.,0,Expense,Personal Services
2019,101,General Fund,Fire,Fighting - Paid on Call,F.I.C.A..F.I.C.A.,9563,Expense,Personal Services
2019,101,General Fund,Information Technology,Information Technology,Hospitalization Insurance.Hospitalization Insurance,135631,Expense,Personal Services
2019,101,General Fund,Facilities,Facilities Maintenance,Hospitalization Insurance.Hospitalization Insurance,18270,Expense,Personal Services
2019,101,General Fund,Police,Building ,Hospitalization Insurance.Hospitalization Insurance,21865,Expense,Personal Services
2019,101,General Fund,Police,Administration Services,Hospitalization Insurance.Hospitalization Insurance,172158,Expense,Personal Services
2019,101,General Fund,Police,Records Management,Hospitalization Insurance.Hospitalization Insurance,82320,Expense,Personal Services
2019,101,General Fund,Police,Detective Bureau,Hospitalization Insurance.Hospitalization Insurance,360082,Expense,Personal Services
2019,101,General Fund,Fire,Administration Services,Hospitalization Insurance.Hospitalization Insurance,64470,Expense,Personal Services
2019,101,General Fund,Fire,Fighting,Hospitalization Insurance.Hospitalization Insurance,511482,Expense,Personal Services
2019,101,General Fund,Police,Patrol,Hospitalization Insurance.Hospitalization Insurance,1053859,Expense,Personal Services
2019,101,General Fund,Police,Forensic Science Unit,Hospitalization Insurance.Hospitalization Insurance,111248,Expense,Personal Services
2019,101,General Fund,Finance,Treasurer,Hospitalization Insurance.Hospitalization Insurance,49950,Expense,Personal Services
2019,101,General Fund,District Court,District Court - Probation,Hospitalization Insurance.Hospitalization Insurance,47041,Expense,Personal Services
2019,101,General Fund,District Court,District Court,Hospitalization Insurance.Hospitalization Insurance,226199,Expense,Personal Services
2019,101,General Fund,City Manager,City Manager,Hospitalization Insurance.Hospitalization Insurance,126749,Expense,Personal Services
2019,101,General Fund,Finance,Accounting,Hospitalization Insurance.Hospitalization Insurance,91975.92,Expense,Personal Services
2019,101,General Fund,City Clerk,City Clerk,Hospitalization Insurance.Hospitalization Insurance,102609,Expense,Personal Services
2019,101,General Fund,Assessor,Assessor,Hospitalization Insurance.Hospitalization Insurance,85886,Expense,Personal Services
2019,101,General Fund,Fire,Prevention,Hospitalization Insurance.Hospitalization Insurance,21865,Expense,Personal Services
2019,101,General Fund,Planning,Planning,Hospitalization Insurance.Hospitalization Insurance,31567,Expense,Personal Services
2019,101,General Fund,Attorney,Legal Services,Hospitalization Insurance.Hospitalization Insurance,0,Expense,Personal Services
2019,101,General Fund,Public Works,Other Govt/Agencies(Non Act 51),Life Insurance.Life Insurance,3,Expense,Personal Services
2019,101,General Fund,Public Works,Kentwood Hwys/Street(Non Act 51),Life Insurance.Life Insurance,2,Expense,Personal Services
2019,101,General Fund,Planning,Planning,Life Insurance.Life Insurance,315,Expense,Personal Services
2019,101,General Fund,Fire,Prevention,Life Insurance.Life Insurance,91,Expense,Personal Services
