Fiscal Year,Account Type,Department,Division,Fund Description,Account Category,Account Description,Amount
2019,Expense,City Council,City Council,General Fund,Personal Services,Salaries - Elected.Salaries - Elected,67625
2019,Expense,District Court,District Court,General Fund,Personal Services,Salaries - Elected.Salaries - Elected,91448
2019,Expense,Police,Administration Services,General Fund,Personal Services,Salaries - Uniform.Salaries - Uniform,841770
2019,Expense,Police,Detective Bureau,General Fund,Personal Services,Salaries - Uniform.Salaries - Uniform,1348519
2019,Expense,Police,Patrol,General Fund,Personal Services,Salaries - Uniform.Salaries - Uniform,4500746
2019,Expense,Fire,Administration Services,General Fund,Personal Services,Salaries - Uniform.Salaries - Uniform,184182
2019,Expense,Fire,Fighting,General Fund,Personal Services,Salaries - Uniform.Salaries - Uniform,1783635
2019,Expense,Fire,Prevention,General Fund,Personal Services,Salaries - Uniform.Salaries - Uniform,67026
2019,Expense,Planning,Planning,General Fund,Personal Services,Salaries.Salaries,215594
2019,Expense,Public Works,Kentwood Hwys/Street(Non Act 51),General Fund,Personal Services,Salaries.Salaries,1000
2019,Expense,Public Works,Other Govt/Agencies(Non Act 51),General Fund,Personal Services,Salaries.Salaries,2000
2019,Expense,Fire,Administration Services,General Fund,Personal Services,Salaries.Salaries,35588
2019,Expense,Police,Forensic Science Unit,General Fund,Personal Services,Salaries.Salaries,374074
2019,Expense,Finance,Treasurer,General Fund,Personal Services,Salaries.Salaries,195457
2019,Expense,Police,Detective Bureau,General Fund,Personal Services,Salaries.Salaries,49737
2019,Expense,Police,Records Management,General Fund,Personal Services,Salaries.Salaries,215828
2019,Expense,Police,Administration Services,General Fund,Personal Services,Salaries.Salaries,99970
2019,Expense,Police,Building ,General Fund,Personal Services,Salaries.Salaries,45118
2019,Expense,Information Technology,Information Technology,General Fund,Personal Services,Salaries.Salaries,587092
2019,Expense,Facilities,Facilities Maintenance,General Fund,Personal Services,Salaries.Salaries,65980
2019,Expense,City Clerk,City Clerk,General Fund,Personal Services,Salaries.Salaries,272046
2019,Expense,Assessor,Assessor,General Fund,Personal Services,Salaries.Salaries,352940
2019,Expense,District Court,District Court,General Fund,Personal Services,Salaries.Salaries,666081
2019,Expense,District Court,District Court - Probation,General Fund,Personal Services,Salaries.Salaries,246495
2019,Expense,City Manager,City Manager,General Fund,Personal Services,Salaries.Salaries,640559
2019,Expense,Finance,Accounting,General Fund,Personal Services,Salaries.Salaries,496242
2019,Expense,Fire,Fighting - Dual Empl. Reserves,General Fund,Personal Services,Salaries.Salaries,85000
2019,Expense,Attorney,Legal Services,General Fund,Personal Services,Salaries.Salaries,150000
2019,Expense,Finance,Accounting,General Fund,Personal Services,Salaries - Temporary.Salaries - Temporary,2500
2019,Expense,City Manager,City Manager,General Fund,Personal Services,Salaries - Temporary.Salaries - Temporary,5500
