budget_year,department,fund_code,account_type,account_category,amount
FY20,,1010,Revenue,Taxes,10527000
FY20,,1010,Revenue,Taxes,-105300
FY20,,1010,Revenue,Taxes,319416
FY20,,1010,Revenue,Taxes,17800
FY20,,1010,Revenue,Taxes,-25000
FY20,,1010,Revenue,Taxes,4400
FY20,,1010,Revenue,Taxes,149200
FY20,,1010,Revenue,Taxes,524850
FY20,,1010,Revenue,Taxes,55000
FY20,,1010,Revenue,Taxes,1000000
FY20,,1010,Revenue,Licenses and Permits,50000
FY20,,1010,Revenue,Licenses and Permits,1000000
FY20,,1010,Revenue,State Grants,91450
FY20,,1010,Revenue,State Grants,68000
FY20,,1010,Revenue,State Grants,15000
FY20,,1010,Revenue,State Grants,10000
FY20,,1010,Revenue,State Grants,6477000
FY20,,1010,Revenue,State Grants,685398
FY20,,1010,Revenue,State Grants,30000
FY20,,1010,Revenue,Contributions from Local Units,15000
FY20,,1010,Revenue,Contributions from Local Units,31000
FY20,,1010,Revenue,Contributions from Local Units,216040
FY20,,1010,Revenue,Contributions from Local Units,2500
FY20,,1010,Revenue,Contributions from Local Units,1580
FY20,,1010,Revenue,Contributions from Local Units,3160
FY20,,1010,Revenue,Contributions from Local Units,14400
FY20,,1010,Revenue,Charges for Service,5000
FY20,,1010,Revenue,Charges for Service,22000
FY20,,1010,Revenue,Charges for Service,19000
FY20,,1010,Revenue,Charges for Service,3559923
FY20,,1010,Revenue,Charges for Service,2000
FY20,,1010,Revenue,Charges for Service,2000
FY20,,1010,Revenue,Fines and Forfeitures,1700000
FY20,,1010,Revenue,Interest and Rentals,200000
FY20,,1010,Revenue,Interest and Rentals,74380
FY20,,1010,Revenue,Interest and Rentals,17900
FY20,,1010,Revenue,Other Revenues,1000
FY20,,1010,Revenue,Other Revenues,60000
FY20,,1010,Revenue,Other Revenues,23000
FY20,,1010,Revenue,Other Revenues,4500
FY20,,1010,Revenue,Other Revenues,3800
FY20,,1010,Revenue,Other Revenues,1500
FY20,,1010,Revenue,Other Revenues,10000
FY20,,1010,Revenue,Other Revenues,500
FY20,,1010,Revenue,Other Revenues,30000
FY20,,1010,Revenue,Other Financing Sources,2787170
FY20,,1010,Revenue,Other Financing Sources,1637860
FY20,,1010,Revenue,Other Financing Sources,2730450
FY20,,1010,Revenue,Other Financing Sources,25000
FY20,City Council,1010,Expense,Personal Services,72938
