Fiscal Year,Amount,Account Description,Fund Code,Fund Description,Department Code,Department,Division Code,Division,Account Type,Account Category,,GL_Account_ID,GL_Account_Delimited,Column1,Column2,GL_Organization_Scrunched,GL_Organization_Description_Delimited,GL_Base_and_Detail_Scrunched,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Budget_Type,Budget_Level,GL_Account_Status,Paying_Fund,Receipting_Fund,CurrentFiscalYear,Fund_Category,Fund_Category_Sequence,Fund_Type,Fund_Type_Sequence,Column10,Column11,Account_Class_Level_1_Sequence
FY20,10527000,Property Taxes.Property Taxes,1010,General Fund,,,,,Revenue,Taxes,,3259,230-402.000,,,230,Solid Waste Disposal Fund,402000,,,,,,,,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2019,Governmental,10,Special Revenue Funds,30,,,10
FY20,-105300,Delinquent Tax Revenue.Delinquent Tax Revenue,1010,General Fund,,,,,Revenue,Taxes,,4085,400-402.000,,,400,Capital Improvement Fund,402000,,,,,,,,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2019,Governmental,10,Capital Projects Funds,50,,,10
FY20,319416,Property Taxes.Serv Charge In Lieu Of Tax,1010,General Fund,,,,,Revenue,Taxes,,2901,208-402.000,,,208,Parks and Recreation Fund,402000,,,,,,,,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2019,Governmental,10,Special Revenue Funds,30,,,10
FY20,17800,Property Taxes.Act 425 Serv Chg In Lieu of Tax,1010,General Fund,,,,,Revenue,Taxes,,2852,207-402.000,,,207,Police Fund,402000,,,,,,,,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2019,Governmental,10,Special Revenue Funds,30,,,10
FY20,-25000,Property Taxes.Act 425 Payments to Other Govern,1010,General Fund,,,,,Revenue,Taxes,,2820,206-402.000,,,206,Fire Fund,402000,,,,,,,,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2019,Governmental,10,Special Revenue Funds,30,,,10
FY20,4400,Property Taxes.Trailer Fees,1010,General Fund,,,,,Revenue,Taxes,,3198,211-402.000,,,211,Sidewalk Fund,402000,,,,,,,,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2019,Governmental,10,Special Revenue Funds,30,,,10
FY20,149200,Property Taxes.IFT Revenue,1010,General Fund,,,,,Revenue,Taxes,,907,101-402.000,,,101,General Fund,402000,,,,,,,,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2019,Governmental,10,Special Revenue Funds,30,,,10
FY20,524850,Property Tax.PPT Reimbursement-LCSA,1010,General Fund,,,,,Revenue,Taxes,,9648,205-402.000,,,205,Public Safety Fund,402000,,,,,,,,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2019,Governmental,10,Special Revenue Funds,30,,,10
FY20,55000,Property Taxes.Interest & Penalties,1010,General Fund,,,,,Revenue,Taxes,,12795,401-402.000,,,401,Library Maint & Capital Fund,402000,,,,,,,,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2019,Governmental,10,Special Revenue Funds,30,,,10
FY20,1000000,Property Taxes.Administration Fees,1010,General Fund,,,,,Revenue,Taxes,,3261,230-407.000,,,230,Solid Waste Disposal Fund,407000,,,,,,,,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2019,Governmental,10,Special Revenue Funds,30,,,10
FY20,50000,Licenses.Licenses,1010,General Fund,,,,,Revenue,Licenses and Permits,,4059,400-407.000,,,400,Capital Improvement Fund,407000,,,,,,,,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2019,Governmental,10,Capital Projects Funds,50,,,10
