Fiscal Year,Account Type,Department,Division,Fund Description,Account Category,Account Description,Amount,,,Fund Code,Department Code,Division Code
FY20,Revenue,,,Solid Waste Disposal Fund,Taxes,Property Taxes.Property Taxes,866000,,,230,,
FY20,Revenue,,,Capital Improvement Fund,Taxes,Property Taxes.Property Taxes,3366000,,,400,,
FY20,Revenue,,,Parks and Recreation Fund,Taxes,Property Taxes.Property Taxes,3220000,,,208,,
FY20,Revenue,,,Police Fund,Taxes,Property Taxes.Property Taxes,2684000,,,207,,
FY20,Revenue,,,Fire Fund,Taxes,Property Taxes.Property Taxes,1610000,,,206,,
FY20,Revenue,,,Sidewalk Fund,Taxes,Property Taxes.Property Taxes,321000,,,211,,
FY20,Revenue,,,General Fund,Taxes,Property Taxes.Property Taxes,10527000,,,101,,
FY20,Revenue,,,Public Safety Fund,Taxes,Property Taxes.Property Taxes,2683000,,,205,,
FY20,Revenue,,,Library Maint & Capital Fund,Taxes,Property Taxes.Property Taxes,794000,,,401,,
FY20,Revenue,,,Solid Waste Disposal Fund,Taxes,Delinquent Tax Revenue.Delinquent Tax Revenue,-8700,,,230,,
FY20,Revenue,,,Capital Improvement Fund,Taxes,Delinquent Tax Revenue.Delinquent Tax Revenue,-33700,,,400,,
FY20,Revenue,,,General Fund,Taxes,Delinquent Tax Revenue.Delinquent Tax Revenue,-105300,,,101,,
FY20,Revenue,,,Sidewalk Fund,Taxes,Delinquent Tax Revenue.Delinquent Tax Revenue,-3200,,,211,,
FY20,Revenue,,,Fire Fund,Taxes,Delinquent Tax Revenue.Delinquent Tax Revenue,-16100,,,206,,
FY20,Revenue,,,Police Fund,Taxes,Delinquent Tax Revenue.Delinquent Tax Revenue,-26800,,,207,,
FY20,Revenue,,,Parks and Recreation Fund,Taxes,Delinquent Tax Revenue.Delinquent Tax Revenue,-32200,,,208,,
FY20,Revenue,,,Library Maint & Capital Fund,Taxes,Delinquent Tax Revenue.Delinquent Tax Revenue,-7900,,,401,,
FY20,Revenue,,,Public Safety Fund,Taxes,Delinquent Tax Revenue.Delinquent Tax Revenue,-26800,,,205,,
FY20,Revenue,,,Library Maint & Capital Fund,Taxes,Property Taxes.Serv Charge In Lieu Of Tax,780,,,401,,
FY20,Revenue,,,Public Safety Fund,Taxes,Property Taxes.Serv Charge In Lieu Of Tax,2620,,,205,,
FY20,Revenue,,,Parks and Recreation Fund,Taxes,Property Taxes.Serv Charge In Lieu Of Tax,3140,,,208,,
