Fiscal Year,Account Type,Department,Division,Fund Description,Account Category,Account Description,Amount
FY20,Revenue,,,Solid Waste Disposal Fund,Taxes,Property Taxes.Property Taxes,866000
FY20,Revenue,,,Capital Improvement Fund,Taxes,Property Taxes.Property Taxes,3366000
FY20,Revenue,,,Parks and Recreation Fund,Taxes,Property Taxes.Property Taxes,3220000
FY20,Revenue,,,Police Fund,Taxes,Property Taxes.Property Taxes,2684000
FY20,Revenue,,,Fire Fund,Taxes,Property Taxes.Property Taxes,1610000
FY20,Revenue,,,Sidewalk Fund,Taxes,Property Taxes.Property Taxes,321000
FY20,Revenue,,,General Fund,Taxes,Property Taxes.Property Taxes,10527000
FY20,Revenue,,,Public Safety Fund,Taxes,Property Taxes.Property Taxes,2683000
FY20,Revenue,,,Library Maint & Capital Fund,Taxes,Property Taxes.Property Taxes,794000
FY20,Revenue,,,Solid Waste Disposal Fund,Taxes,Delinquent Tax Revenue.Delinquent Tax Revenue,-8700
FY20,Revenue,,,Capital Improvement Fund,Taxes,Delinquent Tax Revenue.Delinquent Tax Revenue,-33700
FY20,Revenue,,,General Fund,Taxes,Delinquent Tax Revenue.Delinquent Tax Revenue,-105300
FY20,Revenue,,,Sidewalk Fund,Taxes,Delinquent Tax Revenue.Delinquent Tax Revenue,-3200
FY20,Revenue,,,Fire Fund,Taxes,Delinquent Tax Revenue.Delinquent Tax Revenue,-16100
FY20,Revenue,,,Police Fund,Taxes,Delinquent Tax Revenue.Delinquent Tax Revenue,-26800
FY20,Revenue,,,Parks and Recreation Fund,Taxes,Delinquent Tax Revenue.Delinquent Tax Revenue,-32200
FY20,Revenue,,,Library Maint & Capital Fund,Taxes,Delinquent Tax Revenue.Delinquent Tax Revenue,-7900
FY20,Revenue,,,Public Safety Fund,Taxes,Delinquent Tax Revenue.Delinquent Tax Revenue,-26800
FY20,Revenue,,,Library Maint & Capital Fund,Taxes,Property Taxes.Serv Charge In Lieu Of Tax,780
FY20,Revenue,,,Public Safety Fund,Taxes,Property Taxes.Serv Charge In Lieu Of Tax,2620
FY20,Revenue,,,Parks and Recreation Fund,Taxes,Property Taxes.Serv Charge In Lieu Of Tax,3140
FY20,Revenue,,,Police Fund,Taxes,Property Taxes.Serv Charge In Lieu Of Tax,2620
FY20,Revenue,,,Fire Fund,Taxes,Property Taxes.Serv Charge In Lieu Of Tax,1570
FY20,Revenue,,,Sidewalk Fund,Taxes,Property Taxes.Serv Charge In Lieu Of Tax,420
FY20,Revenue,,,General Fund,Taxes,Property Taxes.Serv Charge In Lieu Of Tax,319416
FY20,Revenue,,,Capital Improvement Fund,Taxes,Property Taxes.Serv Charge In Lieu Of Tax,3270
FY20,Revenue,,,Solid Waste Disposal Fund,Taxes,Property Taxes.Serv Charge In Lieu Of Tax,740
FY20,Revenue,,,Solid Waste Disposal Fund,Taxes,Property Taxes.Act 425 Serv Chg In Lieu of Tax,1450
FY20,Revenue,,,Capital Improvement Fund,Taxes,Property Taxes.Act 425 Serv Chg In Lieu of Tax,5650
FY20,Revenue,,,General Fund,Taxes,Property Taxes.Act 425 Serv Chg In Lieu of Tax,17800
FY20,Revenue,,,Sidewalk Fund,Taxes,Property Taxes.Act 425 Serv Chg In Lieu of Tax,540
FY20,Revenue,,,Fire Fund,Taxes,Property Taxes.Act 425 Serv Chg In Lieu of Tax,2750
FY20,Revenue,,,Police Fund,Taxes,Property Taxes.Act 425 Serv Chg In Lieu of Tax,4550
FY20,Revenue,,,Parks and Recreation Fund,Taxes,Property Taxes.Act 425 Serv Chg In Lieu of Tax,5450
FY20,Revenue,,,Public Safety Fund,Taxes,Property Taxes.Act 425 Serv Chg In Lieu of Tax,4550
FY20,Revenue,,,Library Maint & Capital Fund,Taxes,Property Taxes.Act 425 Serv Chg In Lieu of Tax,1350
FY20,Revenue,,,Library Maint & Capital Fund,Taxes,Property Taxes.Act 425 Payments to Other Govern,-1800
FY20,Revenue,,,Public Safety Fund,Taxes,Property Taxes.Act 425 Payments to Other Govern,-5900
FY20,Revenue,,,General Fund,Taxes,Property Taxes.Act 425 Payments to Other Govern,-25000
FY20,Revenue,,,Capital Improvement Fund,Taxes,Property Taxes.Act 425 Payments to Other Govern,-7350
FY20,Revenue,,,Sidewalk Fund,Taxes,Property Taxes.Act 425 Payments to Other Govern,-700
FY20,Revenue,,,Parks and Recreation Fund,Taxes,Property Taxes.Act 425 Payments to Other Govern,-7000
FY20,Revenue,,,Fire Fund,Taxes,Property Taxes.Act 425 Payments to Other Govern,-3500
FY20,Revenue,,,Police Fund,Taxes,Property Taxes.Act 425 Payments to Other Govern,-5900
FY20,Revenue,,,Solid Waste Disposal Fund,Taxes,Property Taxes.Act 425 Payments to Other Govern,-1900
FY20,Revenue,,,General Fund,Taxes,Property Taxes.Trailer Fees,4400
FY20,Revenue,,,General Fund,Taxes,Property Taxes.IFT Revenue,149200
FY20,Revenue,,,Parks and Recreation Fund,Taxes,Property Taxes.IFT Revenue,45700
FY20,Revenue,,,Police Fund,Taxes,Property Taxes.IFT Revenue,38100
FY20,Revenue,,,Fire Fund,Taxes,Property Taxes.IFT Revenue,22800
FY20,Revenue,,,Sidewalk Fund,Taxes,Property Taxes.IFT Revenue,4500
FY20,Revenue,,,Solid Waste Disposal Fund,Taxes,Property Taxes.IFT Revenue,12200
FY20,Revenue,,,Capital Improvement Fund,Taxes,Property Taxes.IFT Revenue,47700
FY20,Revenue,,,Public Safety Fund,Taxes,Property Taxes.IFT Revenue,38100
FY20,Revenue,,,Library Maint & Capital Fund,Taxes,Property Taxes.IFT Revenue,11200
FY20,Revenue,,,Library Maint & Capital Fund,Taxes,Property Tax.PPT Reimbursement-LCSA,6210
FY20,Revenue,,,General Fund,Taxes,Property Tax.PPT Reimbursement-LCSA,524850
FY20,Revenue,,,Public Safety Fund,Taxes,Property Tax.PPT Reimbursement-LCSA,78100
FY20,Revenue,,,Fire Fund,Taxes,Property Tax.PPT Reimbursement-LCSA,12590
FY20,Revenue,,,Police Fund,Taxes,Property Tax.PPT Reimbursement-LCSA,20980
FY20,Revenue,,,Parks and Recreation Fund,Taxes,Property Tax.PPT Reimbursement-LCSA,25175
FY20,Revenue,,,Sidewalk Fund,Taxes,Property Tax.PPT Reimbursement-LCSA,3360
FY20,Revenue,,,Solid Waste Disposal Fund,Taxes,Property Tax.PPT Reimbursement-LCSA,17875
FY20,Revenue,,,Capital Improvement Fund,Taxes,Property Tax.PPT Reimbursement-LCSA,26312
FY20,Revenue,,,General Fund,Taxes,Property Taxes.Interest & Penalties,55000
FY20,Revenue,,,Capital Projects Revolving Fund,Taxes,Property Taxes.Interest Inc Cap Proj,2698
FY20,Revenue,,,General Fund,Taxes,Property Taxes.Administration Fees,1000000
FY20,Revenue,,,General Fund,Licenses and Permits,Licenses.Licenses,50000
FY20,Revenue,,,Building Inspection Fund,Licenses and Permits,Licenses.Licenses,11500
FY20,Revenue,,,General Fund,Licenses and Permits,CATV Fees.CATV Fees,1000000
FY20,Revenue,,,Building Inspection Fund,Licenses and Permits,Registration Fees.Rental,309714
FY20,Revenue,,,Building Inspection Fund,Licenses and Permits,Permits.Building,714600
FY20,Revenue,,,Building Inspection Fund,Licenses and Permits,Permits.Electrical,151800
FY20,Revenue,,,Building Inspection Fund,Licenses and Permits,Permits.Electrical Inspections,17000
FY20,Revenue,,,Building Inspection Fund,Licenses and Permits,Permits.Mechanical,142780
FY20,Revenue,,,Building Inspection Fund,Licenses and Permits,Permits.Mechanical Inspections,5040
FY20,Revenue,,,Building Inspection Fund,Licenses and Permits,Permits.Plumbing,68556
FY20,Revenue,,,Building Inspection Fund,Licenses and Permits,Permits.Plumbing Inspections,15080
FY20,Revenue,,,Local Streets Fund,Licenses and Permits,Street Permits.Street Permits,25000
FY20,Revenue,,,Major Streets Fund,Licenses and Permits,Street Permits.Street Permits,25000
FY20,Revenue,,,Major Streets Fund,Licenses and Permits,Street Permits.ROW Rev,255000
FY20,Revenue,,,Building Inspection Fund,Licenses and Permits,Permits.Other,18871
FY20,Revenue,,,Parks and Recreation Fund,Federal Grants,Federal Grant.21st Century Cohort I-1,29294
FY20,Revenue,,,Parks and Recreation Fund,Federal Grants,Federal Grant.21st Century Cohort I-2,29296
FY20,Revenue,,,Parks and Recreation Fund,Federal Grants,Federal Grant.21st Century Cohort k,146480
FY20,Revenue,,,Building Inspection Fund,Federal Grants,Federal Grant Revenue.Grant Revenue,55000
FY20,Revenue,General Government,2020,Community Development Fund,Federal Grants,Federal Grant Revenue.Grant Revenue,550935
FY20,Revenue,General Government,2019,Community Development Fund,Federal Grants,Federal Grant Revenue.Grant Revenue,90772
FY20,Revenue,,,General Fund,State Grants,State Grants.St. GR. Dist. Judge Salary,91450
FY20,Revenue,,,General Fund,State Grants,State Grants.Auto Theft Prevention Authority,68000
FY20,Revenue,,,General Fund,State Grants,State Grants.Act 302,15000
FY20,Revenue,,,General Fund,State Grants,State Grants.Dst Ct Drnk Caseld Asst,10000
FY20,Revenue,,,Local Streets Fund,State Grants,State Grants.M.V.H.F Revenue,2000000
FY20,Revenue,,,Major Streets Fund,State Grants,State Grants.M.V.H.F Revenue,6700000
FY20,Revenue,,,General Fund,State Grants,State Grants.State Shared Revenue,6477000
